Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Baden-Wuerttemberg,"34,034",+34,307,"1,653",,,,,,,,,,,,,,,
Bavaria,"45,639",+132,349,"2,314",,,,,,,,,,,,,,,
Berlin,"6,478",+20,173,182,,,,,,,,,,,,,,,
Brandenburg,"3,185",+13,127,150,,,,,,,,,,,,,,,
Bremen,"1,237",+66,181,38,,,,,,,,,,,,,,,
Hamburg,"5,042",+5,274,232,,,,,,,,,,,,,,,
Hesse,"9,368",+31,150,442,,,,,,,,,,,,,,,
"Mecklenburg- 
Western Pomerania",752,+0,47,20th,,,,,,,,,,,,,,,
Lower Saxony,"11,207",+40,140,548,,,,,,,,,,,,,,,
North Rhine-Westphalia,"36,485",+120,203,"1,525",,,,,,,,,,,,,,,
Rhineland-Palatinate,"6,520",+30,160,222,,,,,,,,,,,,,,,
Saarland,"2,699",+3,272,154,,,,,,,,,,,,,,,
Saxony,"5,133",+8,126,198,,,,,,,,,,,,,,,
Saxony-Anhalt,"1,679",+1,76,54,,,,,,,,,,,,,,,
Schleswig-Holstein,"3,002",+0,104,128,,,,,,,,,,,,,,,
Thuringia,"2,750",+10,128,147,,,,,,,,,,,,,,,
total,175.210,+513,211,8.007,,,,,,,,,,,,,,,
